iter	Passed	Remaining
0	1	170
1	3	168
2	5	169
3	8	192
4	9	186
5	12	189
6	16	216
7	17	205
8	19	198
9	21	190
10	23	191
11	27	202
12	29	197
13	32	201
14	36	208
15	39	206
16	41	201
17	42	194
18	44	188
19	45	183
20	49	185
21	51	183
22	53	178
23	54	173
24	56	170
25	58	167
26	61	166
27	63	162
28	64	158
29	65	153
30	67	150
31	70	149
32	72	148
33	74	144
34	75	140
35	77	137
36	78	133
37	82	134
38	84	132
39	86	129
40	87	125
41	88	121
42	89	119
43	99	126
44	100	123
45	102	120
46	111	125
47	113	122
48	115	119
49	117	117
50	120	115
51	122	112
52	124	109
53	125	107
54	127	104
55	129	101
56	132	99
57	133	96
58	135	93
59	136	91
60	138	88
61	140	85
62	142	83
63	146	82
64	147	79
65	149	77
66	151	74
67	153	72
68	155	69
69	159	68
70	161	65
71	163	63
72	165	61
73	167	58
74	169	56
75	170	53
76	172	51
77	174	49
78	176	46
79	177	44
80	179	41
81	180	39
82	183	37
83	185	35
84	188	33
85	189	30
86	191	28
87	192	26
88	194	24
89	197	21
90	199	19
91	200	17
92	201	15
93	203	12
94	205	10
95	208	8
96	210	6
97	211	4
98	213	2
99	214	0
